,Lycorine_A1,Lycorine_A9,Lycorine_A18,Bufalin_B3,Bufalin_B12,Bufalin_B20,DMSO_C5,DMSO_C14,DMSO_C22
ENSRNOG00000047003,1,8,1,0,1,7,0,0,0
ENSRNOG00000047004,2,0,0,0,0,0,2,1,0
ENSRNOG00000047005,146,102,189,56,38,60,68,68,69
ENSRNOG00000047006,0,0,0,0,0,0,0,0,0
ENSRNOG00000047007,0,0,0,0,0,0,0,0,0
ENSRNOG00000047011,0,0,0,0,0,0,0,0,0
ENSRNOG00000047013,0,0,0,0,0,0,0,0,0
ENSRNOG00000047014,3553,1215,1955,1992,1106,1305,1732,1298,1444
ENSRNOG00000047015,0,0,0,0,0,0,0,0,0
ENSRNOG00000047017,0,0,0,0,0,0,0,0,0
ENSRNOG00000047018,7,6,6,6,1,2,1,5,4
ENSRNOG00000047019,40,36,28,17,24,35,33,51,39
ENSRNOG00000047023,25,17,16,10,15,17,49,12,9
ENSRNOG00000047024,0,0,0,0,0,0,0,0,0
ENSRNOG00000047026,0,0,0,0,0,0,0,0,0
ENSRNOG00000047027,1,1,0,0,0,0,0,0,0
ENSRNOG00000047028,8,14,9,16,15,16,16,11,12
ENSRNOG00000047029,2,0,0,0,1,3,2,1,7
ENSRNOG00000047030,0,0,0,0,0,0,0,0,0
ENSRNOG00000047035,526,1323,765,185,210,282,346,246,250
ENSRNOG00000047036,0,0,0,0,0,0,0,0,0
ENSRNOG00000047039,0,0,0,0,0,0,0,0,0
ENSRNOG00000047040,31,50,19,1,2,0,0,1,3
ENSRNOG00000047041,0,0,0,0,0,0,0,0,0
ENSRNOG00000047042,0,0,0,0,0,0,0,0,0
ENSRNOG00000047045,1,0,0,0,0,0,0,1,0
ENSRNOG00000047046,665,1627,361,186,518,283,238,428,195
ENSRNOG00000047051,0,0,0,0,0,0,0,0,0
ENSRNOG00000047052,1075,979,664,1072,1229,973,1326,1181,911
ENSRNOG00000047053,172,124,152,179,200,227,324,209,201
ENSRNOG00000047055,0,0,0,0,0,0,0,0,0
ENSRNOG00000047056,0,0,0,0,0,0,0,0,0
ENSRNOG00000047057,0,0,0,0,0,0,0,0,0
ENSRNOG00000047060,0,0,0,0,0,0,0,0,0
ENSRNOG00000047061,0,1,0,1,0,0,1,2,1
ENSRNOG00000047062,0,2,0,0,0,0,0,0,0
ENSRNOG00000047065,0,0,0,0,0,0,0,0,0
ENSRNOG00000047066,0,0,0,0,0,0,0,0,0
ENSRNOG00000047067,215,132,145,183,143,176,323,156,141
ENSRNOG00000047069,0,0,0,0,0,0,0,0,0
ENSRNOG00000047072,0,0,0,0,0,0,0,0,0
ENSRNOG00000047073,0,0,0,0,0,0,0,0,0
ENSRNOG00000047074,0,0,0,0,0,0,0,0,0
ENSRNOG00000047075,0,4,0,0,0,0,0,0,0
ENSRNOG00000047076,8,7,9,0,5,2,4,1,3
ENSRNOG00000047077,0,0,0,1,3,7,0,3,1
ENSRNOG00000047078,0,0,0,0,0,0,0,0,0
ENSRNOG00000047079,0,0,0,2,1,3,3,0,0
ENSRNOG00000047080,101,57,82,6,2,7,2,3,4
ENSRNOG00000047081,0,0,0,0,0,0,0,0,0
ENSRNOG00000047082,0,0,0,0,0,0,0,0,0
ENSRNOG00000047084,0,0,0,0,0,0,0,0,0
ENSRNOG00000047085,0,3,1,0,0,4,0,0,0
ENSRNOG00000047088,2708,3382,2475,2739,2479,3205,3668,2510,2613
ENSRNOG00000047089,695,529,478,512,513,554,647,469,478
ENSRNOG00000047090,2,0,1,0,0,0,0,0,0
ENSRNOG00000047091,0,0,0,3,2,3,1,0,2
ENSRNOG00000047092,0,0,0,0,0,0,0,0,0
ENSRNOG00000047094,0,0,0,0,0,0,0,0,0
ENSRNOG00000047095,0,0,0,0,0,0,0,0,0
ENSRNOG00000047098,1170,1387,2387,1416,1863,4110,1871,1530,3222
ENSRNOG00000047100,0,1,1,2,0,0,2,1,0
ENSRNOG00000047101,0,0,0,0,0,0,0,0,0
ENSRNOG00000047102,7,78,33,5,29,34,7,16,14
ENSRNOG00000047103,0,0,0,0,0,0,0,0,0
ENSRNOG00000047104,0,0,1,1,0,0,1,0,0
ENSRNOG00000047105,0,0,0,0,0,0,0,0,0
ENSRNOG00000047106,353,374,296,228,338,290,358,323,246
ENSRNOG00000047107,0,0,0,0,0,0,0,0,0
ENSRNOG00000047108,1,0,1,0,0,0,0,0,0
ENSRNOG00000047110,0,0,0,0,0,0,0,0,0
ENSRNOG00000047112,0,0,0,0,0,0,0,0,0
ENSRNOG00000047113,0,0,0,0,0,0,0,0,0
ENSRNOG00000047114,0,0,0,0,0,0,0,0,0
ENSRNOG00000047115,339,294,239,355,395,367,612,395,358
ENSRNOG00000047116,0,0,0,0,0,0,0,0,0
ENSRNOG00000047117,0,0,0,0,0,0,0,0,0
ENSRNOG00000047118,294,343,267,505,481,494,754,468,423
ENSRNOG00000047120,0,0,0,0,0,0,0,0,0
ENSRNOG00000047123,85,59,43,83,58,71,96,71,54
ENSRNOG00000047124,1,6,0,1,2,1,1,1,0
ENSRNOG00000047125,17,11,20,0,0,3,0,0,0
ENSRNOG00000047126,0,0,0,0,0,0,0,0,0
ENSRNOG00000047128,0,0,0,1,0,0,0,0,0
ENSRNOG00000047131,0,0,0,0,0,0,0,0,0
ENSRNOG00000047132,92,80,53,111,98,115,192,114,99
ENSRNOG00000047133,115,260,229,85,115,111,189,122,112
ENSRNOG00000047134,1744,1378,1356,1995,1711,2009,2618,1742,1661
ENSRNOG00000047135,0,0,0,0,0,0,0,0,0
ENSRNOG00000047136,0,0,0,0,0,0,0,0,0
ENSRNOG00000047137,4440,4285,4302,2060,1874,2328,2839,1704,1837
ENSRNOG00000047138,19,19,12,11,16,13,25,16,17
ENSRNOG00000047140,0,0,0,0,0,0,0,0,0
ENSRNOG00000047142,0,0,0,0,0,0,0,0,0
ENSRNOG00000047143,1,2,3,4,2,1,4,1,1
ENSRNOG00000047145,44,44,33,43,42,91,109,47,60
ENSRNOG00000047146,0,0,0,0,0,1,0,0,1
ENSRNOG00000047148,0,0,0,0,0,0,0,0,0
ENSRNOG00000047150,0,0,0,0,0,0,0,0,0
ENSRNOG00000047151,3,2,4,23,10,9,23,4,5
ENSRNOG00000047152,0,0,0,0,0,2,0,0,0
ENSRNOG00000047153,0,0,0,0,0,0,0,0,0
ENSRNOG00000047155,0,0,0,0,0,0,0,0,0
ENSRNOG00000047158,0,1,0,0,0,0,0,0,0
ENSRNOG00000047162,0,0,0,0,0,0,0,0,0
ENSRNOG00000047164,0,0,0,0,0,0,0,0,0
ENSRNOG00000047165,0,0,0,2,0,0,2,0,0
ENSRNOG00000047167,0,1,1,0,0,1,5,0,0
ENSRNOG00000047169,0,0,0,0,0,0,0,0,0
ENSRNOG00000047171,644,583,573,620,433,590,717,336,479
ENSRNOG00000047173,0,0,0,0,0,0,0,0,0
ENSRNOG00000047174,1,16,7,9,1,16,20,23,6
ENSRNOG00000047175,7,1,8,0,1,0,2,1,0
ENSRNOG00000047176,0,0,0,0,0,0,0,0,0
ENSRNOG00000047177,0,0,0,0,0,0,0,0,0
ENSRNOG00000047179,7519,5282,5484,10724,8833,11616,19042,8725,10873
ENSRNOG00000047180,0,0,0,0,0,0,0,0,0
ENSRNOG00000047185,1107,792,749,1642,1290,1464,2217,1263,1375
ENSRNOG00000047186,0,0,0,0,0,0,0,0,0
ENSRNOG00000047187,4,2,0,0,0,0,1,1,1
ENSRNOG00000047188,0,0,0,0,0,0,0,0,0
ENSRNOG00000047191,1,2,5,0,0,1,0,0,0
ENSRNOG00000047193,0,0,0,0,0,0,0,0,0
ENSRNOG00000047194,261,194,219,207,196,209,312,217,208
ENSRNOG00000047196,3,0,2,1,0,0,0,0,0
ENSRNOG00000047198,248,153,168,160,137,176,256,180,148
ENSRNOG00000047204,5,0,0,0,1,0,1,0,0
ENSRNOG00000047205,390,328,335,319,405,408,527,398,320
ENSRNOG00000047206,0,0,0,1,1,0,1,2,3
ENSRNOG00000047208,0,0,0,0,0,0,0,0,0
ENSRNOG00000047211,12,16,17,52,61,42,71,53,40
ENSRNOG00000047212,0,0,0,0,0,0,0,0,0
ENSRNOG00000047213,39,89,71,66,68,93,129,114,87
ENSRNOG00000047214,0,0,0,0,0,0,0,0,0
ENSRNOG00000047215,0,0,0,0,0,0,0,0,0
ENSRNOG00000047216,4,1,1,0,0,2,5,2,0
ENSRNOG00000047218,1865,3365,2021,1660,2508,3669,2063,2370,2830
ENSRNOG00000047219,1021,1814,1129,491,880,1014,795,647,763
ENSRNOG00000047221,0,0,0,0,0,0,0,0,0
ENSRNOG00000047223,0,0,1,0,2,0,0,0,0
ENSRNOG00000047224,0,0,0,0,0,0,0,0,0
ENSRNOG00000047225,0,1,1,3,3,1,8,2,6
ENSRNOG00000047226,0,0,0,0,0,0,0,0,0
ENSRNOG00000047227,0,0,0,0,0,0,0,0,0
ENSRNOG00000047229,126,191,112,30,76,92,57,66,63
ENSRNOG00000047230,0,0,0,0,0,0,0,0,0
ENSRNOG00000047231,0,0,0,0,0,0,0,0,0
ENSRNOG00000047233,0,0,0,0,0,0,0,0,0
ENSRNOG00000047234,0,0,0,0,0,0,0,0,0
ENSRNOG00000047235,840,1221,770,610,755,868,929,777,805
ENSRNOG00000047236,127,138,156,126,88,176,178,142,138
ENSRNOG00000047238,0,0,0,0,0,0,0,0,0
ENSRNOG00000047240,0,0,0,0,0,0,0,0,0
ENSRNOG00000047241,0,0,0,0,0,0,0,0,0
ENSRNOG00000047242,0,0,0,0,0,0,0,0,0
ENSRNOG00000047243,0,0,0,0,0,0,0,0,0
ENSRNOG00000047244,95,68,77,74,98,87,135,76,60
ENSRNOG00000047246,1120,1382,1252,559,777,1041,1007,808,945
ENSRNOG00000047247,1435,1411,1112,762,817,859,1156,687,647
ENSRNOG00000047250,189,219,161,402,386,529,711,423,422
ENSRNOG00000047251,0,0,0,0,0,0,0,0,0
ENSRNOG00000047252,0,0,0,0,0,0,0,0,0
ENSRNOG00000047253,0,0,0,0,0,0,0,0,0
ENSRNOG00000047254,0,0,0,0,1,0,0,0,0
ENSRNOG00000047257,415,431,380,549,722,772,984,640,613
ENSRNOG00000047258,5,5,8,11,4,2,15,1,7
ENSRNOG00000047259,0,0,0,0,0,0,0,0,0
ENSRNOG00000047260,0,0,0,0,0,0,0,0,0
ENSRNOG00000047261,115,148,106,61,83,165,67,94,111
ENSRNOG00000047264,0,0,0,0,0,0,0,0,2
ENSRNOG00000047265,0,0,0,0,0,0,0,0,0
ENSRNOG00000047266,0,0,0,0,1,0,0,0,0
ENSRNOG00000047267,0,0,0,0,0,0,0,0,0
ENSRNOG00000047268,0,0,0,0,0,0,0,0,0
ENSRNOG00000047270,0,0,0,0,0,0,0,0,0
ENSRNOG00000047271,0,0,0,0,0,0,0,0,0
ENSRNOG00000047272,0,6,5,0,0,0,2,0,0
ENSRNOG00000047274,0,0,0,0,0,0,0,0,0
ENSRNOG00000047275,0,0,0,0,0,0,0,0,0
ENSRNOG00000047276,64,75,55,353,214,313,407,298,317
ENSRNOG00000047277,0,0,0,0,0,0,0,0,0
ENSRNOG00000047278,8,3,3,10,16,5,8,8,8
ENSRNOG00000047279,5,3,2,2,1,0,2,0,0
ENSRNOG00000047280,0,3,2,0,0,1,1,3,1
ENSRNOG00000047281,2,0,1,1,0,2,2,1,0
ENSRNOG00000047286,0,0,0,0,0,0,0,0,0
ENSRNOG00000047287,550,377,398,682,542,545,857,471,523
ENSRNOG00000047288,0,0,0,0,0,0,0,0,0
ENSRNOG00000047289,0,0,1,0,0,0,0,0,0
ENSRNOG00000047291,0,0,0,0,0,0,0,0,0
ENSRNOG00000047293,0,0,0,0,0,0,0,0,0
ENSRNOG00000047294,1,0,0,0,0,0,0,0,0
ENSRNOG00000047295,217,167,134,439,337,340,462,272,349
ENSRNOG00000047296,1826,1310,1383,1588,1188,1668,2195,1314,1541
ENSRNOG00000047298,0,0,0,0,0,0,0,0,0
ENSRNOG00000047300,998,1179,909,384,487,619,597,365,615
ENSRNOG00000047301,0,0,0,0,0,0,0,0,0
ENSRNOG00000047302,6,3,0,12,5,8,14,4,5
ENSRNOG00000047303,62,57,45,89,110,149,243,101,135
ENSRNOG00000047304,1,0,0,3,0,0,0,1,0
ENSRNOG00000047306,789,527,803,180,189,268,753,229,293
ENSRNOG00000047307,44,19,10,3,6,9,13,9,4
ENSRNOG00000047308,0,0,0,0,0,0,0,0,0
ENSRNOG00000047309,1712,1966,1440,1856,1769,1941,2854,1842,1636
ENSRNOG00000047310,33,8,23,2,3,1,0,5,3
ENSRNOG00000047312,8,3,3,0,1,0,2,0,1
ENSRNOG00000047313,0,0,0,0,0,0,0,0,0
ENSRNOG00000047314,63,44,82,82,64,95,111,76,107
ENSRNOG00000047319,438,607,438,118,130,188,244,169,138
ENSRNOG00000047320,0,0,0,0,0,0,0,0,0
ENSRNOG00000047321,962,1474,2449,1189,1756,3761,1322,1497,2816
ENSRNOG00000047322,55,56,49,5,4,8,12,4,3
ENSRNOG00000047324,0,0,0,0,0,0,0,0,0
ENSRNOG00000047325,0,0,0,0,0,0,0,0,0
ENSRNOG00000047326,0,0,0,0,0,0,0,0,0
ENSRNOG00000047328,0,0,0,0,0,0,0,0,0
ENSRNOG00000047329,168,258,150,173,247,243,278,276,221
ENSRNOG00000047331,0,0,0,0,0,0,0,0,0
ENSRNOG00000047332,0,0,0,0,0,0,0,0,0
ENSRNOG00000047334,0,0,0,0,0,0,0,0,0
ENSRNOG00000047335,1,0,0,0,0,1,0,0,0
ENSRNOG00000047336,0,0,0,0,0,0,0,0,0
ENSRNOG00000047337,0,0,0,0,0,0,1,0,0
ENSRNOG00000047338,0,0,0,0,0,0,0,0,0
ENSRNOG00000047339,571,698,452,619,597,802,751,660,628
ENSRNOG00000047340,0,0,0,0,0,0,0,0,0
ENSRNOG00000047341,4,1,1,1,1,0,2,2,0
ENSRNOG00000047343,0,0,0,0,0,0,0,0,0
ENSRNOG00000047344,0,0,0,0,0,0,0,0,0
ENSRNOG00000047347,1,2,0,0,0,0,1,0,0
ENSRNOG00000047349,15,11,38,3,16,18,19,11,12
ENSRNOG00000047350,0,0,0,0,0,0,2,0,0
ENSRNOG00000047351,103,86,69,190,148,152,117,102,132
ENSRNOG00000047356,359,375,326,357,305,469,627,292,393
ENSRNOG00000047357,0,0,0,0,0,0,0,0,0
ENSRNOG00000047358,0,0,1,0,0,0,0,0,0
ENSRNOG00000047359,0,0,0,0,0,0,0,0,0
ENSRNOG00000047361,0,0,1,0,0,0,0,0,0
ENSRNOG00000047363,4,6,3,13,7,4,7,8,4
ENSRNOG00000047364,8,26,6,15,9,9,8,21,3
ENSRNOG00000047365,0,0,0,0,0,1,0,0,0
ENSRNOG00000047367,21,25,22,6,1,6,0,10,5
ENSRNOG00000047368,8,1,5,4,1,1,0,2,5
ENSRNOG00000047369,0,0,0,0,0,0,0,0,0
ENSRNOG00000047370,0,0,0,0,0,0,0,0,0
ENSRNOG00000047373,0,0,0,0,0,0,0,0,0
ENSRNOG00000047374,13477,10239,9497,13718,12443,13830,16620,11244,10935
ENSRNOG00000047376,0,0,0,0,0,0,0,0,0
ENSRNOG00000047377,0,0,0,0,0,0,0,0,0
ENSRNOG00000047379,0,0,0,0,0,0,0,0,0
ENSRNOG00000047380,0,0,0,0,0,0,0,0,0
ENSRNOG00000047381,0,0,0,0,0,0,0,0,0
ENSRNOG00000047382,0,0,0,0,0,0,0,0,0
ENSRNOG00000047384,0,0,0,0,0,1,0,0,0
ENSRNOG00000047385,0,0,0,0,0,0,0,0,0
ENSRNOG00000047386,1314,984,966,1270,1138,1098,1540,1004,1089
ENSRNOG00000047387,11,22,11,12,11,13,17,10,23
ENSRNOG00000047388,0,0,0,0,0,0,0,0,0
ENSRNOG00000047389,0,0,0,0,0,0,0,0,0
ENSRNOG00000047391,0,0,0,0,0,0,0,0,0
ENSRNOG00000047392,0,0,0,0,0,0,0,0,0
ENSRNOG00000047393,1,3,0,1,1,0,4,2,0
ENSRNOG00000047394,1881,1936,1559,2505,2392,2603,3258,2177,2186
ENSRNOG00000047395,0,0,0,0,0,0,0,0,0
ENSRNOG00000047396,0,0,0,0,0,0,0,0,0
ENSRNOG00000047398,0,0,0,0,0,0,0,0,0
ENSRNOG00000047401,15,2,1,5,0,2,2,0,1
ENSRNOG00000047402,0,0,0,0,0,0,0,2,0
ENSRNOG00000047403,0,0,0,0,0,0,0,0,0
ENSRNOG00000047406,7,9,8,1,1,0,0,1,0
ENSRNOG00000047407,0,0,0,0,0,0,0,0,0
ENSRNOG00000047410,0,0,0,0,0,0,0,0,0
ENSRNOG00000047413,7,10,7,0,2,1,3,1,3
ENSRNOG00000047414,307,325,239,196,149,134,164,143,70
ENSRNOG00000047415,0,0,0,0,0,0,0,0,0
ENSRNOG00000047419,0,0,0,0,0,0,0,0,0
ENSRNOG00000047422,0,0,0,0,0,0,0,0,0
ENSRNOG00000047425,0,0,0,0,0,0,0,0,0
ENSRNOG00000047426,0,0,0,0,0,0,0,0,0
ENSRNOG00000047427,271,389,302,271,372,512,480,400,350
ENSRNOG00000047429,0,0,0,0,0,0,0,0,0
ENSRNOG00000047430,0,0,0,2,2,3,0,1,0
ENSRNOG00000047431,0,0,0,0,0,0,0,0,0
ENSRNOG00000047434,0,0,0,0,0,0,2,0,0
ENSRNOG00000047435,98,134,92,32,42,101,49,58,65
ENSRNOG00000047436,55,27,28,33,15,13,25,7,8
ENSRNOG00000047437,0,0,0,0,0,0,0,0,0
ENSRNOG00000047439,358,222,201,240,151,170,368,150,148
ENSRNOG00000047443,0,0,0,0,0,0,0,0,0
ENSRNOG00000047444,0,0,0,0,0,0,0,0,0
ENSRNOG00000047445,0,0,0,0,0,0,0,0,0
ENSRNOG00000047446,753,459,853,145,74,144,119,93,81
ENSRNOG00000047447,0,0,0,2,2,2,2,0,2
ENSRNOG00000047449,0,0,0,0,0,0,0,0,0
ENSRNOG00000047450,22,17,31,14,4,7,8,5,8
ENSRNOG00000047452,0,0,0,0,0,0,0,0,0
ENSRNOG00000047453,64,93,67,120,135,139,310,149,177
ENSRNOG00000047454,10,3,2,3,3,2,7,4,4
ENSRNOG00000047455,2,0,1,0,3,2,0,0,3
ENSRNOG00000047456,866,726,853,483,570,717,1019,535,613
ENSRNOG00000047457,102,74,93,7,6,1,4,5,5
ENSRNOG00000047458,0,0,0,0,0,0,0,0,0
ENSRNOG00000047459,19,25,14,11,7,17,9,7,14
ENSRNOG00000047460,0,0,0,0,0,0,0,0,0
ENSRNOG00000047461,0,0,0,0,0,0,0,0,0
ENSRNOG00000047464,2,1,0,18,9,13,32,6,9
ENSRNOG00000047466,1121,1031,752,926,1358,1483,1113,1167,2090
ENSRNOG00000047468,3,2,1,2,0,1,3,1,3
ENSRNOG00000047471,0,0,0,0,0,0,0,0,0
ENSRNOG00000047473,0,0,0,0,0,0,0,0,0
ENSRNOG00000047474,0,0,0,0,0,0,0,0,0
ENSRNOG00000047476,9,15,20,21,20,25,37,44,36
ENSRNOG00000047477,0,0,0,0,0,0,0,0,0
ENSRNOG00000047478,0,0,0,0,0,0,0,0,0
ENSRNOG00000047479,0,0,0,0,0,0,0,0,0
ENSRNOG00000047480,0,0,0,0,0,0,0,0,0
ENSRNOG00000047481,0,0,1,0,0,1,0,1,1
ENSRNOG00000047483,0,0,0,0,0,0,0,0,0
ENSRNOG00000047484,0,0,0,0,0,0,0,0,0
ENSRNOG00000047487,0,0,0,0,0,0,0,0,0
ENSRNOG00000047489,0,0,0,0,0,0,0,0,0
ENSRNOG00000047490,0,0,0,0,0,0,0,0,0
ENSRNOG00000047491,85,30,73,8,10,12,17,8,8
ENSRNOG00000047492,0,0,0,0,0,0,0,0,0
ENSRNOG00000047493,0,0,0,0,0,0,0,0,0
ENSRNOG00000047495,0,0,0,0,0,0,0,0,0
ENSRNOG00000047496,0,0,0,0,0,0,0,0,0
ENSRNOG00000047497,0,0,0,0,0,0,0,0,0
ENSRNOG00000047498,0,0,0,0,0,0,0,0,0
ENSRNOG00000047499,821,604,687,773,928,1125,980,838,878
ENSRNOG00000047502,0,0,0,0,0,0,0,0,0
ENSRNOG00000047503,1,0,0,0,0,0,0,0,0
ENSRNOG00000047505,6,5,3,22,17,13,11,5,8
ENSRNOG00000047506,232,205,185,253,253,233,479,229,234
ENSRNOG00000047507,0,0,0,0,0,0,0,0,0
ENSRNOG00000047508,0,0,0,0,0,0,0,0,0
ENSRNOG00000047509,0,0,0,0,0,0,0,0,0
ENSRNOG00000047511,0,0,0,0,0,0,0,0,0
ENSRNOG00000047512,0,0,0,0,0,0,0,0,0
ENSRNOG00000047513,788,707,816,1525,1471,1733,1884,1508,1632
ENSRNOG00000047514,0,0,0,0,0,0,0,0,0
ENSRNOG00000047515,0,0,0,0,0,0,0,0,0
ENSRNOG00000047516,38,33,25,30,34,31,41,36,42
ENSRNOG00000047517,137,119,92,127,142,127,191,145,89
ENSRNOG00000047518,0,0,0,0,0,0,0,0,0
ENSRNOG00000047520,0,0,0,0,0,0,0,0,0
ENSRNOG00000047521,9,0,0,0,0,0,0,0,0
ENSRNOG00000047523,0,0,0,0,0,0,0,0,0
ENSRNOG00000047526,183,251,199,256,302,372,390,229,301
ENSRNOG00000047528,0,0,0,0,0,0,0,0,0
ENSRNOG00000047530,0,0,0,0,0,0,0,0,0
ENSRNOG00000047531,1133,626,798,211,98,178,336,120,165
ENSRNOG00000047532,0,0,0,0,0,0,0,0,0
ENSRNOG00000047533,0,0,0,0,0,0,0,0,0
ENSRNOG00000047534,0,0,1,0,0,0,0,0,0
ENSRNOG00000047535,0,0,0,0,0,0,0,0,0
ENSRNOG00000047537,44,12,22,63,54,55,138,41,36
ENSRNOG00000047538,0,0,0,0,0,0,0,0,0
ENSRNOG00000047540,0,0,0,0,0,0,0,0,0
ENSRNOG00000047541,0,0,0,0,0,0,0,0,0
ENSRNOG00000047545,120,24,55,66,36,36,42,20,73
ENSRNOG00000047546,0,1,0,0,0,0,0,0,0
ENSRNOG00000047547,0,0,0,0,0,0,0,0,0
ENSRNOG00000047549,1,4,0,0,1,0,0,0,0
ENSRNOG00000047551,8,10,10,3,4,2,8,3,1
ENSRNOG00000047553,0,0,0,0,0,0,0,0,0
ENSRNOG00000047555,0,0,0,0,0,0,0,0,0
ENSRNOG00000047557,9,4,8,8,6,11,7,6,1
ENSRNOG00000047560,0,0,0,0,0,0,0,0,0
ENSRNOG00000047561,0,0,0,0,0,0,0,0,0
ENSRNOG00000047563,371,368,324,371,363,421,486,386,335
ENSRNOG00000047565,0,0,0,0,1,0,2,0,2
ENSRNOG00000047566,0,0,0,0,1,0,0,0,0
ENSRNOG00000047567,0,0,0,0,0,0,0,0,0
ENSRNOG00000047568,1,1,0,2,0,0,0,0,0
ENSRNOG00000047570,0,0,0,0,0,0,0,0,0
ENSRNOG00000047571,0,0,0,0,0,0,0,1,0
ENSRNOG00000047572,0,0,0,0,0,0,0,0,0
ENSRNOG00000047573,0,1,0,0,0,0,0,0,0
ENSRNOG00000047574,3,5,4,6,6,12,10,12,5
ENSRNOG00000047575,127,160,97,110,153,207,203,176,132
ENSRNOG00000047576,0,0,0,0,0,0,0,0,0
ENSRNOG00000047577,0,0,0,0,0,0,0,0,0
ENSRNOG00000047578,268,101,168,93,59,77,108,61,68
ENSRNOG00000047581,0,1,0,0,1,0,0,3,2
ENSRNOG00000047582,0,0,0,0,0,0,0,0,0
ENSRNOG00000047584,0,0,0,0,0,0,0,0,0
ENSRNOG00000047587,0,0,0,0,0,0,0,0,0
ENSRNOG00000047589,0,0,0,0,0,0,0,0,0
ENSRNOG00000047590,0,0,0,0,0,0,0,0,0
ENSRNOG00000047591,0,0,0,0,0,0,0,0,0
ENSRNOG00000047593,0,0,0,1,0,0,0,0,0
ENSRNOG00000047594,156,63,83,55,30,60,89,43,63
ENSRNOG00000047595,0,0,0,0,0,0,0,0,0
ENSRNOG00000047596,2,0,0,2,0,0,4,1,2
ENSRNOG00000047598,210,246,191,154,148,249,317,196,193
ENSRNOG00000047599,0,0,0,0,0,0,0,0,1
ENSRNOG00000047601,0,0,0,0,0,0,0,0,0
ENSRNOG00000047602,0,0,0,0,0,0,0,0,0
ENSRNOG00000047604,0,1,0,0,0,0,0,0,0
ENSRNOG00000047605,3647,3442,2683,1956,1716,1908,2858,1443,1608
ENSRNOG00000047606,52,56,86,349,359,557,917,385,450
ENSRNOG00000047607,0,0,0,0,0,0,0,0,0
ENSRNOG00000047608,0,0,0,0,0,0,0,0,0
ENSRNOG00000047609,0,0,0,0,0,0,0,0,0
ENSRNOG00000047610,0,0,0,0,0,0,0,0,0
ENSRNOG00000047611,3945,2644,2906,1935,1230,1593,2070,1206,1573
ENSRNOG00000047613,0,0,0,2,0,0,0,0,0
ENSRNOG00000047614,0,0,0,0,0,0,0,0,0
ENSRNOG00000047616,0,0,0,0,0,0,0,0,0
ENSRNOG00000047617,0,0,0,0,0,0,0,0,0
ENSRNOG00000047618,0,1,0,0,0,0,0,0,2
ENSRNOG00000047620,114,126,99,258,278,320,445,297,241
ENSRNOG00000047621,5,5,10,0,2,6,4,17,2
ENSRNOG00000047622,0,0,0,0,0,0,0,0,0
ENSRNOG00000047623,0,0,0,0,0,0,0,0,0
ENSRNOG00000047624,0,0,0,0,0,0,0,0,0
ENSRNOG00000047625,833,1000,796,1010,1055,1279,1347,985,983
ENSRNOG00000047626,0,0,0,0,0,0,0,0,0
ENSRNOG00000047627,0,0,0,0,0,0,0,0,0
ENSRNOG00000047628,1188,1483,1401,1802,1830,2409,3052,1861,1799
ENSRNOG00000047630,0,0,0,0,0,0,0,0,0
ENSRNOG00000047631,4,2,2,6,6,6,16,12,3
ENSRNOG00000047632,0,0,0,0,0,0,0,0,0
ENSRNOG00000047633,0,0,0,0,0,0,0,0,0
ENSRNOG00000047635,0,0,0,0,0,1,0,3,0
ENSRNOG00000047636,1,0,0,0,0,0,2,0,0
ENSRNOG00000047637,2,1,5,0,1,0,0,0,1
ENSRNOG00000047638,0,0,0,0,0,0,0,0,0
ENSRNOG00000047639,0,0,0,0,0,0,0,0,0
ENSRNOG00000047641,0,0,0,0,0,0,0,0,0
ENSRNOG00000047642,0,0,0,0,0,0,0,0,0
ENSRNOG00000047643,0,0,0,0,0,0,0,0,0
ENSRNOG00000047644,0,0,0,0,0,0,0,0,0
ENSRNOG00000047645,0,0,0,0,0,0,0,0,0
ENSRNOG00000047646,2,0,0,0,0,0,0,0,0
ENSRNOG00000047647,180,357,273,80,222,275,712,104,183
ENSRNOG00000047649,0,0,0,0,0,0,0,0,0
ENSRNOG00000047650,0,0,0,0,0,0,0,0,0
ENSRNOG00000047651,0,0,0,0,0,0,0,0,0
ENSRNOG00000047653,220,314,171,155,253,190,179,259,173
ENSRNOG00000047654,0,0,0,0,0,0,0,0,0
ENSRNOG00000047655,0,0,0,0,0,0,0,0,0
ENSRNOG00000047656,1718,2084,1464,1161,1497,1896,1633,1712,1417
ENSRNOG00000047657,4,2,2,2,2,0,1,2,2
ENSRNOG00000047658,0,0,0,0,0,0,0,0,0
ENSRNOG00000047659,0,0,0,0,0,0,0,0,0
ENSRNOG00000047662,0,0,0,0,0,0,0,0,0
ENSRNOG00000047663,0,0,0,0,0,0,0,0,0
ENSRNOG00000047664,0,0,0,0,0,0,0,0,0
ENSRNOG00000047666,0,0,0,0,0,0,0,0,0
ENSRNOG00000047669,0,0,0,0,0,0,0,0,0
ENSRNOG00000047671,0,0,0,0,0,0,0,0,0
ENSRNOG00000047673,0,0,5,2,1,0,1,0,0
ENSRNOG00000047675,0,0,1,0,0,0,0,0,0
ENSRNOG00000047676,0,0,0,0,0,0,0,0,0
ENSRNOG00000047678,0,0,0,0,0,1,1,2,1
